,lang,task,pattern,TP,FP,TN,FN,P,R,F1
108,ja_fam,numerals2,P1|P2|P3|NEG,1,1,573,25,0.5,0.038461538461538464,0.07142857142857144
109,ja_fam,numerals2,P1|P2|P3|NEG|N1,1,1,573,25,0.5,0.038461538461538464,0.07142857142857144
110,ja_fam,numerals2,P1|P2|P3|NEG|N2,1,1,573,25,0.5,0.038461538461538464,0.07142857142857144
111,ja_fam,numerals2,P1|P2|P3|NEG|N1|N2,1,1,573,25,0.5,0.038461538461538464,0.07142857142857144
112,ja_fam,spatial1,P1|NEG,85,231,169,115,0.2689873417721519,0.425,0.3294573643410853
113,ja_fam,spatial1,P1|NEG|N1,0,180,220,200,0.0,0.0,0.0
114,ja_fam,spatial1,P1|NEG|N2,36,229,171,164,0.13584905660377358,0.18,0.15483870967741933
115,ja_fam,spatial1,P1|NEG|N1|N2,0,178,222,200,0.0,0.0,0.0
116,ja_fam,spatial1,P1|P2|NEG,77,84,316,123,0.4782608695652174,0.385,0.42659279778393355
117,ja_fam,spatial1,P1|P2|NEG|N1,0,33,367,200,0.0,0.0,0.0
118,ja_fam,spatial1,P1|P2|NEG|N2,32,84,316,168,0.27586206896551724,0.16,0.20253164556962025
119,ja_fam,spatial1,P1|P2|NEG|N1|N2,0,33,367,200,0.0,0.0,0.0
120,ja_fam,spatial2,P1|NEG,110,29,461,0,0.7913669064748201,1.0,0.8835341365461847
121,ja_fam,spatial2,P1|NEG|N1,110,28,462,0,0.7971014492753623,1.0,0.8870967741935484
122,ja_fam,spatial2,P1|NEG|N2,110,18,472,0,0.859375,1.0,0.9243697478991597
123,ja_fam,spatial2,P1|NEG|N1|N2,110,18,472,0,0.859375,1.0,0.9243697478991597
124,ja_fam,spatial2,P1|P2|NEG,8,1,489,102,0.8888888888888888,0.07272727272727272,0.13445378151260504
125,ja_fam,spatial2,P1|P2|NEG|N1,8,1,489,102,0.8888888888888888,0.07272727272727272,0.13445378151260504
126,ja_fam,spatial2,P1|P2|NEG|N2,8,1,489,102,0.8888888888888888,0.07272727272727272,0.13445378151260504
127,ja_fam,spatial2,P1|P2|NEG|N1|N2,8,1,489,102,0.8888888888888888,0.07272727272727272,0.13445378151260504
128,ja_fam,temporal1,P1,90,78,462,0,0.5357142857142857,1.0,0.6976744186046512
129,ja_fam,temporal1,P1|N1,90,33,507,0,0.7317073170731707,1.0,0.8450704225352113
130,ja_fam,temporal1,P1|N2,89,30,510,1,0.7478991596638656,0.9888888888888889,0.8516746411483254
131,ja_fam,temporal1,P1|N1|N2,89,16,524,1,0.8476190476190476,0.9888888888888889,0.9128205128205127
132,ja_fam,temporal1,P1|P2|NEG,67,17,523,23,0.7976190476190477,0.7444444444444445,0.7701149425287357
133,ja_fam,temporal1,P1|P2|NEG|N1,67,7,533,23,0.9054054054054054,0.7444444444444445,0.8170731707317074
