,task,model,pattern,tot_score,%_score
94,comparative2,xglm1.7B_zero_1beam,P1|P2|NEG,408,0.136
95,comparative2,xglm1.7B_zero_1beam,P1|P2|NEG|N1,390,0.13
96,comparative2,xglm_alt_one_1beam,P1|NEG,158,0.05266666666666667
97,comparative2,xglm_alt_one_1beam,P1|NEG|N1,158,0.05266666666666667
98,comparative2,xglm_alt_one_1beam,P1|P2|NEG,0,0.0
99,comparative2,xglm_alt_one_1beam,P1|P2|NEG|N1,0,0.0
100,comparative2,xglm_alt_one_2beam,P1|NEG,171,0.057
101,comparative2,xglm_alt_one_2beam,P1|NEG|N1,171,0.057
102,comparative2,xglm_alt_one_2beam,P1|P2|NEG,0,0.0
103,comparative2,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
104,comparative2,xglm_one_1beam,P1|NEG,295,0.09833333333333333
105,comparative2,xglm_one_1beam,P1|NEG|N1,295,0.09833333333333333
106,comparative2,xglm_one_1beam,P1|P2|NEG,0,0.0
107,comparative2,xglm_one_1beam,P1|P2|NEG|N1,0,0.0
108,comparative2,xglm_one_2beam,P1|NEG,99,0.033
109,comparative2,xglm_one_2beam,P1|NEG|N1,99,0.033
110,comparative2,xglm_one_2beam,P1|P2|NEG,0,0.0
111,comparative2,xglm_one_2beam,P1|P2|NEG|N1,0,0.0
112,comparative2,xglm_zero_1beam,P1|NEG,942,0.314
113,comparative2,xglm_zero_1beam,P1|NEG|N1,917,0.30566666666666664
114,comparative2,xglm_zero_1beam,P1|P2|NEG,405,0.135
115,comparative2,xglm_zero_1beam,P1|P2|NEG|N1,398,0.13266666666666665
116,comparative2,xglm_zero_2beam,P1|NEG,568,0.18933333333333333
117,comparative2,xglm_zero_2beam,P1|NEG|N1,543,0.181
118,comparative2,xglm_zero_2beam,P1|P2|NEG,350,0.11666666666666667
119,comparative2,xglm_zero_2beam,P1|P2|NEG|N1,345,0.115
120,counters,mgpt_alt_1beam,P1|NEG,132,0.088
121,counters,mgpt_alt_1beam,P1|NEG|N1,132,0.088
122,counters,mgpt_alt_1beam,P1|P2|NEG,0,0.0
123,counters,mgpt_alt_1beam,P1|P2|NEG|N1,0,0.0
124,counters,mgpt_one_1beam,P1|NEG,132,0.088
125,counters,mgpt_one_1beam,P1|NEG|N1,132,0.088
126,counters,mgpt_one_1beam,P1|P2|NEG,0,0.0
127,counters,mgpt_one_1beam,P1|P2|NEG|N1,0,0.0
128,counters,mgpt_zero_1beam,P1|NEG,0,0.0
129,counters,mgpt_zero_1beam,P1|NEG|N1,0,0.0
130,counters,mgpt_zero_1beam,P1|P2|NEG,0,0.0
131,counters,mgpt_zero_1beam,P1|P2|NEG|N1,0,0.0
132,counters,xglm1.7B_zero_1beam,P1|NEG,0,0.0
133,counters,xglm1.7B_zero_1beam,P1|NEG|N1,0,0.0
134,counters,xglm1.7B_zero_1beam,P1|P2|NEG,0,0.0
135,counters,xglm1.7B_zero_1beam,P1|P2|NEG|N1,0,0.0
136,counters,xglm_alt_one_1beam,P1|NEG,20,0.013333333333333334
137,counters,xglm_alt_one_1beam,P1|NEG|N1,20,0.013333333333333334
